x,y,z
3.038353,-4.641764,1.403487
2.560890,-4.624666,1.284589
2.022223,-4.812634,1.221038
2.931419,-4.750875,1.388713
2.717343,-4.618498,1.297516
2.374954,-4.978022,1.315356
3.035069,-4.954019,1.520389
3.029507,-4.868281,1.528165
2.758431,-5.565530,1.461863
1.605301,-5.839150,1.226380
0.939142,-6.074409,1.133115
1.727656,-5.687110,1.306316
1.867774,-3.084575,0.959216
2.715067,-3.450711,1.158885
2.754836,-3.518398,1.136483
2.610775,-3.677694,1.120035
1.710232,-3.647279,0.983287
2.363909,-3.678273,1.098140
2.359412,-5.153164,1.363814
2.535786,-3.830074,1.127126
2.182504,-3.904078,1.101331
3.206118,-4.232882,1.340689
1.635305,-4.167557,1.080397
2.827187,-4.589286,1.353963
2.817750,-4.575525,1.353796
2.250242,-3.120281,1.020639
2.537063,-3.595518,1.092424
2.778273,-3.360089,1.138968
2.727136,-3.317798,1.141571
1.897498,-3.365896,0.983841
2.503869,-3.527877,1.106722
1.712639,-3.498302,0.985381
2.775336,-3.536535,1.165510
2.784807,-3.541508,1.162142
2.327227,-3.507426,1.077078
2.918353,-3.849681,1.201052
1.835058,-4.290528,1.103260
1.242135,-4.387386,1.040334
1.232923,-4.610304,1.061922
2.834233,-4.616027,1.348857
2.230105,-4.573713,1.207081
1.625596,-4.698971,1.120310
3.619019,-4.742119,1.538337
3.717500,-4.635575,1.580424
1.086583,-7.033750,1.229441
1.289899,-7.326416,1.261296
1.088376,-4.872511,1.073902
2.225600,-4.574630,1.207343
2.187254,-4.401250,1.222829
2.360650,-3.161809,1.041459
3.003920,-3.334728,1.194487
2.714152,-3.084136,1.128448
3.026891,-4.063644,1.269747
1.803682,-5.392163,1.219579
0.871393,-7.143441,1.242988
2.050773,-6.116289,1.417222
1.783959,-4.783299,1.159201
2.779627,-4.751637,1.382322
3.053445,-4.997175,1.517907
3.054884,-4.917355,1.524218
1.078004,-4.886374,1.069228
16.352333,-79.388428,7.382029
2.228794,-4.925913,1.292751
2.365377,-4.991834,1.317865
3.012436,-4.702273,1.523152
1.155356,-4.621221,1.045621
2.215036,-4.950325,1.289040
2.382402,-4.962313,1.311288
2.383892,-4.758413,1.345762
3.568901,-4.648539,1.542485
1.629742,-4.659237,1.129247
3.551956,-4.637851,1.542668
2.699945,-5.302392,1.466876
2.083099,-43.312778,3.101989
2.912265,-4.693945,1.395704
3.546026,-4.617998,1.546019
1.534137,-3.611040,0.978296
2.042393,-2.907355,0.983335
3.113411,-4.445978,1.379751
1.721834,-3.470647,0.999256
2.308352,-3.710172,1.089990
1.863796,-3.063040,0.972203
2.307956,-3.931304,1.141438
2.069866,-3.083938,1.007814
2.750247,-3.171244,1.139303
2.506812,-3.347113,1.090371
2.545681,-3.301189,1.114427
2.155833,-3.283272,1.018923
1.899385,-3.372250,0.980702
2.286334,-3.399734,1.060600
2.329235,-3.545576,1.063375
2.706247,-3.627910,1.144565
2.784468,-3.571128,1.158732
1.711806,-3.604400,0.993143
2.886029,-3.529807,1.184134
3.280773,-3.867701,1.318425
2.986587,-4.144802,1.273616
2.987783,-4.132010,1.277513
3.178057,-4.187333,1.344527
2.462308,-4.151608,1.186740
2.232171,-4.559689,1.206727
3.093411,-4.392795,1.384720
1.382943,-4.572983,1.078751
3.020102,-4.611380,1.406409
3.259179,-4.833812,1.527354
2.779259,-4.742815,1.382244
1.929651,-4.816124,1.211002
2.499928,-4.870908,1.327992
2.951043,-4.574229,1.534548
0.800104,-5.132529,1.053305
2.170330,-2.870099,0.956004
2.230767,-2.916949,1.016825
2.116352,-2.915917,1.012366
1.865441,-3.068336,0.968955
1.471572,-4.359910,1.061420
2.090672,-5.324929,1.302323
2.185993,-3.136191,1.023101
2.906395,-3.131510,1.170491
1.899689,-3.191822,0.989774
1.826145,-3.223612,0.975788
2.299595,-3.403737,1.062452
2.723060,-3.314437,1.144850
2.741953,-3.168284,1.139634
2.030944,-3.516230,1.024050
2.036150,-3.311389,1.000350
2.964768,-3.441339,1.183129
1.471781,-3.532865,0.963863
2.220627,-3.609085,1.043468
1.709530,-3.703813,1.010905
1.760996,-3.717384,1.026903
2.721379,-3.664174,1.133009
2.712566,-3.641173,1.142219
2.617605,-3.705922,1.112769
2.502440,-3.551941,1.095133
1.911991,-3.932423,1.049387
2.042767,-3.542809,1.035493
2.252972,-4.000488,1.128089
2.007744,-3.878053,1.063551
1.523556,-4.064138,1.037527
2.928281,-3.866806,1.194357
3.199245,-4.232623,1.338550
3.460956,-4.151576,1.409421
2.651075,-4.056042,1.202147
2.053084,-4.292878,1.131617
1.129865,-4.258826,1.008006
1.585432,-4.451506,1.100361
1.162959,-4.608696,1.047956
3.574759,-4.640655,1.537816
2.568390,-4.672240,1.301584
3.741067,-4.788878,1.612118
2.400050,-4.794376,1.298807
2.547609,-4.751821,1.324074
3.755192,-5.211286,1.723426
2.680846,-5.204038,1.472695
3.687380,-5.108369,1.713446
2.623960,-2.930216,1.116561
1.931710,-3.111870,0.977788
2.379860,-3.070574,1.058800
2.546206,-3.081534,1.106118
1.918236,-3.903144,1.058817
2.179843,-3.899237,1.103521
1.923795,-3.968470,1.048866
1.377898,-4.600411,1.071964
2.564669,-2.907190,1.087358
2.525588,-3.828104,1.129728
2.578729,-2.915343,1.079225
2.543355,-3.319996,1.108346
1.841240,-4.294308,1.105148
1.409369,-3.685711,0.971948
2.207253,-3.724250,1.052614
3.071960,-4.740755,1.397171
2.935022,-3.359492,1.120632
2.797465,-4.793791,1.376730
2.100788,-4.719022,1.212906
2.134418,-2.945689,0.997744
2.530635,-3.172310,1.081216
1.835982,-3.094114,1.000969
2.373204,-3.064423,1.062269
2.175428,-3.036141,1.012176
2.173180,-3.030096,1.022773
1.863776,-3.063093,0.971326
2.790182,-3.078944,1.134307
2.789127,-3.078050,1.134731
2.043039,-3.126714,0.980858
2.300390,-2.994069,1.059042
2.450284,-3.168140,1.051278
1.931359,-3.121988,0.968282
2.051570,-3.093195,1.001021
1.819626,-3.140245,0.973513
1.961191,-3.292321,0.974679
1.902582,-3.355076,0.987300
1.823989,-3.231908,0.968483
1.811462,-3.328877,0.971815
2.743534,-3.339159,1.130178
2.356322,-3.025486,1.087003
2.890533,-3.322101,1.155737
2.860484,-3.274937,1.172322
2.648770,-2.934989,1.109307
2.311750,-3.021224,1.042529
2.525110,-2.984139,1.059120
2.308565,-2.957382,1.018273
2.552314,-3.314642,1.109071
2.838310,-3.192016,1.159060
2.068695,-3.304096,1.010040
2.597079,-3.323810,1.092424
1.813896,-3.301829,0.983322
2.164858,-3.371027,1.026034
2.611798,-3.373534,1.102603
2.944572,-3.505732,1.120614
2.959986,-3.536526,1.178774
1.892074,-3.351300,0.989212
2.048872,-3.599361,1.026795
1.853561,-3.434334,1.000571
1.854901,-3.429038,1.002773
2.456788,-3.451990,1.092201
1.467384,-3.527185,0.963627
2.519378,-3.563967,1.094676
2.775391,-3.540649,1.168196
1.880817,-3.409065,0.957981
3.070702,-3.549591,1.215838
2.839868,-3.443789,1.175594
2.049074,-3.554861,1.031511
1.596503,-3.617314,1.000489
1.464051,-3.708646,0.993923
2.296658,-3.434270,1.046887
2.043386,-3.576952,1.025190
2.893078,-3.621567,1.180662
