x,y,z
-3.255355,0.208455,-1.273213
-4.305926,0.349436,-1.261833
-2.018574,0.378441,-1.274843
-1.845590,0.373041,-1.294740
-4.185313,0.400672,-1.271226
-1.958529,0.412056,-1.262353
-3.557708,0.726603,-1.280870
-2.203378,0.767617,-1.256383
-3.035545,0.856625,-1.268625
-3.815243,0.936399,-1.279019
-3.626140,1.134710,-1.297257
-3.472023,1.154003,-1.279302
-3.248963,1.199904,-1.288477
-3.617370,1.240388,-1.293674
-3.510145,1.273943,-1.294431
-2.761421,1.344635,-1.287839
-2.564067,1.389577,-1.279084
-3.613611,1.418709,-1.252545
-2.920398,1.437361,-1.256335
-2.629208,1.556546,-1.264549
-3.282349,1.773068,-1.285921
-3.271188,2.003649,-1.293804
-3.326957,2.186369,-1.252685
-3.475411,2.420235,-1.277037
-3.977054,-2.541166,-1.210332
-3.913464,-2.464485,-1.230740
-3.651726,-2.392176,-1.207431
-3.773865,-2.320927,-1.238008
-3.368724,-2.267829,-1.206643
-3.307930,-2.198335,-1.219134
-3.243509,-2.128736,-1.228175
-3.173449,-2.058531,-1.232332
-3.539040,-2.044386,-1.236062
-3.929357,-1.989864,-1.206441
-3.094240,-1.986870,-1.229079
-2.710533,-1.761692,-1.243996
-3.080882,-1.662289,-1.247055
-3.765469,-1.640728,-1.212032
-2.974103,-1.626405,-1.211024
-3.942392,-1.577341,-1.241374
-3.365045,-1.575499,-1.249266
-2.282939,-1.591313,-1.203172
-3.234175,-1.534871,-1.233723
-2.451460,-1.509695,-1.230234
-2.368812,-1.528906,-1.223960
-3.123890,-1.463755,-1.217060
-2.743827,-1.460850,-1.234275
-1.877714,-1.457670,-1.202604
-3.535437,-1.449885,-1.236052
-2.197584,-1.447833,-1.217729
-3.019477,-1.395938,-1.201883
-2.571843,-1.368831,-1.233246
-2.178720,-1.374648,-1.245052
-1.950967,-1.397598,-1.238177
-2.558945,-1.252597,-1.216866
-2.453207,-1.267834,-1.245018
-2.380790,-1.231216,-1.233645
-2.287844,-1.160474,-1.201885
-2.462380,-1.130127,-1.200158
-2.111445,-1.117028,-1.206611
-3.655854,-1.092929,-1.217840
-2.815189,-1.094738,-1.200759
-2.249239,-1.084031,-1.245464
-2.901087,-1.023604,-1.211329
-2.851721,-1.048660,-1.226084
-2.620621,-1.049938,-1.234894
-2.199011,-1.045478,-1.243758
-2.138948,-1.036041,-1.200669
-2.642242,-0.999755,-1.204107
-2.103276,-0.990425,-1.214787
-2.088159,-0.954327,-1.235120
-3.322064,-0.927446,-1.224949
-2.709860,-0.931788,-1.207507
-2.808964,-0.853046,-1.231566
-2.481226,-0.834892,-1.220533
-2.186153,-0.826331,-1.249638
-2.534858,-0.769099,-1.218655
-2.310555,-0.780583,-1.233406
-2.136401,-0.754091,-1.231634
-3.148627,-0.747361,-1.240836
-2.694297,-0.724497,-1.245366
-2.233612,-0.733603,-1.213612
-2.085175,-0.709100,-1.230301
-2.221826,-0.655794,-1.203376
-2.038270,-0.664603,-1.231909
-1.991516,-0.620716,-1.232976
-2.325312,-0.585723,-1.220946
-2.029861,-0.594500,-1.218621
-1.950343,-0.576988,-1.238310
-1.894926,-0.559364,-1.238742
-2.738980,-0.546458,-1.209931
-2.464770,-0.508085,-1.205282
-1.844231,-0.518683,-1.236136
-1.717304,-0.536970,-1.209997
-3.746448,-0.476388,-1.205348
-2.844810,-0.456008,-1.238454
-2.110971,-0.464022,-1.220752
-1.906990,-0.450663,-1.211092
-1.784456,-0.471201,-1.235083
-3.248299,-0.436211,-1.245824
-2.513639,-0.417430,-1.235388
-1.806960,-0.401456,-1.239032
-2.437375,-0.375381,-1.224500
-2.183861,-0.382839,-1.247567
-2.134291,-0.385869,-1.246697
-2.064992,-0.345304,-1.229379
-2.007821,-0.306375,-1.228227
-1.962274,-0.263349,-1.223161
-2.182038,-0.245555,-1.224785
-1.796988,-0.200054,-1.244613
-3.512135,-0.179618,-1.201858
-2.096641,-0.166786,-1.244336
-1.748306,-0.161080,-1.240180
-4.163375,-0.115850,-1.208115
-2.815259,-0.143109,-1.228426
-2.393717,-0.140132,-1.222811
-4.064124,-0.068551,-1.229461
-1.865296,0.020004,-1.204446
-1.819658,0.058306,-1.203874
-1.727794,0.088704,-1.238921
-1.635177,0.050073,-1.206671
-1.671002,0.120768,-1.220647
-4.001871,0.165766,-1.228380
-1.638080,0.164210,-1.234454
-1.593898,0.201397,-1.232019
-3.307029,0.343154,-1.234270
-3.941155,0.384793,-1.226826
-2.738067,0.372400,-1.244356
-1.729164,0.386413,-1.225731
-3.787409,0.434012,-1.218103
-3.015998,0.412785,-1.248155
-1.899199,0.444923,-1.249555
-1.680962,0.421391,-1.220727
-1.840588,0.477062,-1.236471
-1.622160,0.451753,-1.204587
-2.719991,0.538928,-1.240475
-4.095881,0.637516,-1.245654
-3.064343,0.608831,-1.216097
-3.543221,0.901316,-1.218538
-3.259602,0.943021,-1.201776
-2.838043,0.919212,-1.224227
-3.634068,0.967810,-1.240768
-2.371102,1.011592,-1.204962
-2.770712,1.091014,-1.223846
-2.609885,1.092552,-1.241171
-2.693147,1.116490,-1.230923
-2.405072,1.197929,-1.200230
-2.786679,1.271374,-1.208813
-2.973387,1.390041,-1.210492
-3.135472,1.563479,-1.215494
-2.977153,1.604745,-1.239231
-2.850646,1.610391,-1.222773
-3.122821,1.778180,-1.240204
-2.798676,1.805421,-1.214689
-3.192707,1.968859,-1.232558
-3.391907,2.257926,-1.209442
-3.693034,-2.772019,-1.166758
-4.113798,-2.701771,-1.170938
-3.828116,-2.744399,-1.161171
-3.736191,-2.655561,-1.163661
-3.599306,-2.684653,-1.165730
-4.036290,-2.617190,-1.186308
-3.646758,-2.569375,-1.165786
-3.507341,-2.599648,-1.163918
-3.451922,-2.528735,-1.182371
-4.107267,-2.498174,-1.159324
-3.581594,-2.493725,-1.180554
-4.019809,-2.417158,-1.176764
-3.496594,-2.412173,-1.182112
-3.326418,-2.435735,-1.156795
-3.258893,-2.363572,-1.164940
-3.886040,-2.318202,-1.167155
-3.431565,-2.339068,-1.194299
-3.193723,-2.293312,-1.173328
-3.764152,-2.226118,-1.161125
-3.093014,-2.213637,-1.157588
-3.647275,-2.137875,-1.155210
-3.039541,-2.149347,-1.170889
-3.583174,-2.071945,-1.177296
-2.985140,-2.085670,-1.182639
-2.585809,-2.060233,-1.185034
-2.891757,-2.012577,-1.167040
-3.477346,-1.990991,-1.173364
-2.906678,-1.982647,-1.187263
-3.385413,-1.916787,-1.175502
-3.114513,-1.917593,-1.174942
-2.958606,-1.900726,-1.185989
-2.818497,-1.946310,-1.163509
-2.758273,-1.884492,-1.167744
-3.291431,-1.843182,-1.174387
-2.883331,-1.833564,-1.181857
-2.678365,-1.819128,-1.156952
-2.574767,-1.824262,-1.191897
-2.286505,-1.814049,-1.169438
-3.503938,-1.772541,-1.183439
-3.177774,-1.763978,-1.158838
-2.811343,-1.778117,-1.173884
-2.363874,-1.772878,-1.167523
-3.612539,-1.710333,-1.186540
-2.885223,-1.735471,-1.169541
-2.743114,-1.705805,-1.176759
-2.414553,-1.719482,-1.164458
-3.119823,-1.658982,-1.155075
-2.547862,-1.653264,-1.196778
-2.192889,-1.650850,-1.169930
-2.687522,-1.647211,-1.182798
-2.871746,-1.554829,-1.187403
-2.609970,-1.584527,-1.171732
-2.427365,-1.584899,-1.150667
-3.753944,-1.501133,-1.199249
-2.626105,-1.529066,-1.196838
-2.110775,-1.509962,-1.182586
-2.870760,-1.486996,-1.154698
-2.795785,-1.491684,-1.180567
-2.384255,-1.478726,-1.195345
-2.027299,-1.450233,-1.152839
-3.614646,-1.430077,-1.152856
-3.579308,-1.418078,-1.166543
-3.014147,-1.413558,-1.197775
-2.717016,-1.429181,-1.170258
-2.455052,-1.431863,-1.176081
-2.317898,-1.447905,-1.174103
-3.730578,-1.360075,-1.156834
-2.229676,-1.393685,-1.150353
-3.903799,-1.277295,-1.189128
-3.435616,-1.191971,-1.150307
-2.735711,-1.162748,-1.193038
-2.450796,-1.192700,-1.178800
-2.385121,-1.196743,-1.183314
-3.943068,-1.105047,-1.155320
-2.381199,-1.139607,-1.168654
-2.214492,-1.109699,-1.185567
-3.824735,-1.041949,-1.154931
-3.291896,-1.038933,-1.198347
-3.189870,-1.011975,-1.196994
-2.740555,-0.988896,-1.198594
-2.490512,-0.988390,-1.180216
-2.627791,-0.930551,-1.167504
-2.359685,-0.921126,-1.169583
-2.005801,-0.945689,-1.177113
-2.168728,-0.856125,-1.169214
-1.883175,-0.859326,-1.157820
-2.869599,-0.719484,-1.150542
-2.257890,-0.731378,-1.164023
-2.129971,-0.737848,-1.165208
-4.188219,-0.682944,-1.181078
-2.323522,-0.659699,-1.176528
-2.163029,-0.688011,-1.197734
-1.956091,-0.671473,-1.187465
-1.601631,-0.678746,-1.152251
-3.464591,-0.610460,-1.197235
-2.953109,-0.642295,-1.156937
-2.491928,-0.625016,-1.192704
-2.204718,-0.614799,-1.152803
-2.108513,-0.643484,-1.194221
-1.641060,-0.616726,-1.164029
